Column1,Scene,Listener,SII,Column2
Scene S07380 listener L0051 sii 0.483,S07380,L0051,0.483,07380
Scene S07380 listener L0066 sii 0.6573,S07380,L0066,0.6573,07380
Scene S07380 listener L0069 sii 0.5607,S07380,L0069,0.5607,07380
Scene S07381 listener L0022 sii 0.6088,S07381,L0022,0.6088,07381
Scene S07381 listener L0029 sii 0.5245,S07381,L0029,0.5245,07381
Scene S07381 listener L0077 sii 0.5174,S07381,L0077,0.5174,07381
Scene S07382 listener L0032 sii 0.487,S07382,L0032,0.487,07382
Scene S07382 listener L0028 sii 0.4735,S07382,L0028,0.4735,07382
Scene S07382 listener L0097 sii 0.4188,S07382,L0097,0.4188,07382
Scene S07383 listener L0032 sii 0.673,S07383,L0032,0.673,07383
Scene S07383 listener L0012 sii 0.5814,S07383,L0012,0.5814,07383
Scene S07383 listener L0045 sii 0.6133,S07383,L0045,0.6133,07383
Scene S07384 listener L0081 sii 0.2821,S07384,L0081,0.2821,07384
Scene S07384 listener L0027 sii 0.3311,S07384,L0027,0.3311,07384
Scene S07384 listener L0093 sii 0.3315,S07384,L0093,0.3315,07384
Scene S07385 listener L0031 sii 0.6225,S07385,L0031,0.6225,07385
Scene S07385 listener L0078 sii 0.6592,S07385,L0078,0.6592,07385
Scene S07385 listener L0021 sii 0.644,S07385,L0021,0.644,07385
Scene S07386 listener L0077 sii 0.5945,S07386,L0077,0.5945,07386
Scene S07386 listener L0041 sii 0.5506,S07386,L0041,0.5506,07386
Scene S07386 listener L0070 sii 0.5869,S07386,L0070,0.5869,07386
Scene S07387 listener L0031 sii 0.5291,S07387,L0031,0.5291,07387
Scene S07387 listener L0019 sii 0.5541,S07387,L0019,0.5541,07387
Scene S07387 listener L0009 sii 0.5519,S07387,L0009,0.5519,07387
Scene S07388 listener L0083 sii 0.6067,S07388,L0083,0.6067,07388
Scene S07388 listener L0005 sii 0.5971,S07388,L0005,0.5971,07388
Scene S07388 listener L0014 sii 0.4866,S07388,L0014,0.4866,07388
Scene S07389 listener L0015 sii 0.679,S07389,L0015,0.679,07389
Scene S07389 listener L0093 sii 0.6374,S07389,L0093,0.6374,07389
Scene S07389 listener L0023 sii 0.6025,S07389,L0023,0.6025,07389
Scene S07390 listener L0024 sii 0.5288,S07390,L0024,0.5288,07390
Scene S07390 listener L0090 sii 0.5118,S07390,L0090,0.5118,07390
Scene S07390 listener L0035 sii 0.541,S07390,L0035,0.541,07390
Scene S07391 listener L0100 sii 0.6388,S07391,L0100,0.6388,07391
Scene S07391 listener L0059 sii 0.6133,S07391,L0059,0.6133,07391
Scene S07391 listener L0061 sii 0.6477,S07391,L0061,0.6477,07391
Scene S07392 listener L0015 sii 0.4992,S07392,L0015,0.4992,07392
Scene S07392 listener L0063 sii 0.5043,S07392,L0063,0.5043,07392
Scene S07392 listener L0078 sii 0.5239,S07392,L0078,0.5239,07392
Scene S07393 listener L0022 sii 0.4493,S07393,L0022,0.4493,07393
Scene S07393 listener L0056 sii 0.3891,S07393,L0056,0.3891,07393
Scene S07393 listener L0091 sii 0.4758,S07393,L0091,0.4758,07393
Scene S07394 listener L0083 sii 0.4392,S07394,L0083,0.4392,07394
Scene S07394 listener L0035 sii 0.4588,S07394,L0035,0.4588,07394
Scene S07394 listener L0095 sii 0.4506,S07394,L0095,0.4506,07394
Scene S07395 listener L0038 sii 0.4978,S07395,L0038,0.4978,07395
Scene S07395 listener L0094 sii 0.6077,S07395,L0094,0.6077,07395
Scene S07395 listener L0090 sii 0.5285,S07395,L0090,0.5285,07395
Scene S07396 listener L0071 sii 0.5457,S07396,L0071,0.5457,07396
Scene S07396 listener L0095 sii 0.5416,S07396,L0095,0.5416,07396
Scene S07396 listener L0048 sii 0.5734,S07396,L0048,0.5734,07396
Scene S07397 listener L0015 sii 0.4811,S07397,L0015,0.4811,07397
Scene S07397 listener L0023 sii 0.4372,S07397,L0023,0.4372,07397
Scene S07397 listener L0068 sii 0.4828,S07397,L0068,0.4828,07397
Scene S07398 listener L0015 sii 0.542,S07398,L0015,0.542,07398
Scene S07398 listener L0032 sii 0.5931,S07398,L0032,0.5931,07398
Scene S07398 listener L0022 sii 0.5564,S07398,L0022,0.5564,07398
Scene S07399 listener L0029 sii 0.5579,S07399,L0029,0.5579,07399
Scene S07399 listener L0045 sii 0.5801,S07399,L0045,0.5801,07399
Scene S07399 listener L0047 sii 0.5838,S07399,L0047,0.5838,07399
Scene S07400 listener L0055 sii 0.646,S07400,L0055,0.646,07400
Scene S07400 listener L0028 sii 0.6095,S07400,L0028,0.6095,07400
Scene S07400 listener L0072 sii 0.549,S07400,L0072,0.549,07400
Scene S07401 listener L0057 sii 0.5342,S07401,L0057,0.5342,07401
Scene S07401 listener L0086 sii 0.5264,S07401,L0086,0.5264,07401
Scene S07401 listener L0015 sii 0.4939,S07401,L0015,0.4939,07401
Scene S07402 listener L0014 sii 0.5546,S07402,L0014,0.5546,07402
Scene S07402 listener L0065 sii 0.6068,S07402,L0065,0.6068,07402
Scene S07402 listener L0002 sii 0.6663,S07402,L0002,0.6663,07402
Scene S07403 listener L0010 sii 0.401,S07403,L0010,0.401,07403
Scene S07403 listener L0032 sii 0.5025,S07403,L0032,0.5025,07403
Scene S07403 listener L0057 sii 0.4516,S07403,L0057,0.4516,07403
Scene S07404 listener L0070 sii 0.6237,S07404,L0070,0.6237,07404
Scene S07404 listener L0041 sii 0.5748,S07404,L0041,0.5748,07404
Scene S07404 listener L0056 sii 0.6048,S07404,L0056,0.6048,07404
Scene S07405 listener L0069 sii 0.4444,S07405,L0069,0.4444,07405
Scene S07405 listener L0093 sii 0.4134,S07405,L0093,0.4134,07405
Scene S07405 listener L0021 sii 0.4394,S07405,L0021,0.4394,07405
Scene S07406 listener L0056 sii 0.478,S07406,L0056,0.478,07406
Scene S07406 listener L0011 sii 0.5114,S07406,L0011,0.5114,07406
Scene S07406 listener L0077 sii 0.5411,S07406,L0077,0.5411,07406
Scene S07407 listener L0095 sii 0.4651,S07407,L0095,0.4651,07407
Scene S07407 listener L0080 sii 0.4803,S07407,L0080,0.4803,07407
Scene S07407 listener L0051 sii 0.423,S07407,L0051,0.423,07407
Scene S07408 listener L0041 sii 0.4488,S07408,L0041,0.4488,07408
Scene S07408 listener L0064 sii 0.4531,S07408,L0064,0.4531,07408
Scene S07408 listener L0010 sii 0.4164,S07408,L0010,0.4164,07408
Scene S07409 listener L0058 sii 0.5717,S07409,L0058,0.5717,07409
Scene S07409 listener L0056 sii 0.5307,S07409,L0056,0.5307,07409
Scene S07409 listener L0028 sii 0.6013,S07409,L0028,0.6013,07409
Scene S07410 listener L0014 sii 0.428,S07410,L0014,0.428,07410
Scene S07410 listener L0089 sii 0.4969,S07410,L0089,0.4969,07410
Scene S07410 listener L0047 sii 0.5665,S07410,L0047,0.5665,07410
Scene S07411 listener L0073 sii 0.6083,S07411,L0073,0.6083,07411
Scene S07411 listener L0001 sii 0.7089,S07411,L0001,0.7089,07411
Scene S07411 listener L0097 sii 0.605,S07411,L0097,0.605,07411
Scene S07412 listener L0098 sii 0.5955,S07412,L0098,0.5955,07412
Scene S07412 listener L0027 sii 0.555,S07412,L0027,0.555,07412
Scene S07412 listener L0024 sii 0.589,S07412,L0024,0.589,07412
Scene S07413 listener L0089 sii 0.5432,S07413,L0089,0.5432,07413
Scene S07413 listener L0090 sii 0.5613,S07413,L0090,0.5613,07413
Scene S07413 listener L0057 sii 0.6057,S07413,L0057,0.6057,07413
Scene S07414 listener L0073 sii 0.5762,S07414,L0073,0.5762,07414
Scene S07414 listener L0011 sii 0.6558,S07414,L0011,0.6558,07414
Scene S07414 listener L0064 sii 0.6749,S07414,L0064,0.6749,07414
Scene S07415 listener L0045 sii 0.6526,S07415,L0045,0.6526,07415
Scene S07415 listener L0074 sii 0.6536,S07415,L0074,0.6536,07415
Scene S07415 listener L0048 sii 0.6928,S07415,L0048,0.6928,07415
Scene S07416 listener L0004 sii 0.6113,S07416,L0004,0.6113,07416
Scene S07416 listener L0066 sii 0.7347,S07416,L0066,0.7347,07416
Scene S07416 listener L0073 sii 0.567,S07416,L0073,0.567,07416
Scene S07417 listener L0019 sii 0.496,S07417,L0019,0.496,07417
Scene S07417 listener L0022 sii 0.4667,S07417,L0022,0.4667,07417
Scene S07417 listener L0051 sii 0.4263,S07417,L0051,0.4263,07417
Scene S07418 listener L0056 sii 0.5611,S07418,L0056,0.5611,07418
Scene S07418 listener L0051 sii 0.6107,S07418,L0051,0.6107,07418
